timestamp,adv_human,sem_human,hw_human,adv_bot,sem_bot,hw_bot,params
2026-04-08 20:39:26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"{'p_distort': 1.0, 'p_noise': 0.2, 'p_rotate': 1}"
2026-04-08 20:40:35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"{'p_distort': 5.0, 'p_noise': 1.0, 'p_rotate': 30}"
