original_ARI,counterfactual_ARI,impact
0.4928696836705855,0.4682261994870562,0.024643484183529296
0.4963108669384183,0.4714953235914974,0.024815543346920932
0.4992852878730935,0.47432102347943883,0.024964264393654678
0.5018059996267721,0.4767156996454335,0.025090299981338604
0.5038878746043046,0.47869348087408936,0.02519439373021526
0.5055476300862867,0.4802702485819723,0.025277381504314356
0.5068038356275704,0.48146364384619184,0.02534019178137853
0.5076769008129278,0.48229305577228143,0.02538384504064639
0.5081890424250642,0.482779590303811,0.02540945212125323
0.5083642308022792,0.48294601926216524,0.025418211540113977
0.5082281162753525,0.4828167104615848,0.025411405813767662
0.5078079383537177,0.4824175414360318,0.02539039691768591
0.5071324233715027,0.4817758022029275,0.025356621168575177
0.506257206573874,0.48094434624518023,0.02531286032869373
0.5059320346823697,0.4806354329482512,0.025296601734118518
0.5055771487175633,0.4802982912816851,0.02527885743587821
0.5051940516634348,0.479934349080263,0.025259702583171784
0.5047843052856302,0.4795450900213487,0.025239215264281523
0.5043495282879286,0.4791320518735321,0.025217476414396478
0.5038913943273684,0.47869682461099994,0.025194569716368465
0.5034116299117718,0.4782410484161832,0.025170581495588595
0.5029120122118739,0.47776641160128014,0.025145600610593732
0.5023943668315676,0.4772746484899892,0.02511971834157839
0.5018605655951764,0.4767675373154176,0.025093028279758844
0.5013125244321596,0.47624689821055155,0.025065626221608017
0.5007522014704346,0.4757145913969129,0.025037610073521732
0.500181595494829,0.4751725157200875,0.025009079774741483
0.49960274499603824,0.4746226077462363,0.024980137249801915
0.499017728143823,0.4740668417366318,0.024950886407191175
0.49842866419556997,0.47350723098579145,0.02492143320977852
0.49783771715556663,0.4729458312977883,0.02489188585777835
0.4972471030515998,0.4723847478990198,0.024862355152580007
0.4966591032641662,0.47182614810095785,0.024832955163208326
0.49607608859960634,0.471272284169626,0.024803804429980314
0.49550056412765703,0.47072553592127414,0.024775028206382887
0.4949352595380669,0.4701884965611635,0.02474676297690337
0.49361121909280875,0.4689306581381683,0.02468056095464044
0.49228242650609716,0.4676683051807923,0.024614121325304883
0.49096648222408656,0.46641815811288223,0.024548324111204334
0.4896644900860811,0.465181265581777,0.02448322450430407
0.48837766871883237,0.46395878528289075,0.02441888343594162
0.48710738822383287,0.4627520188126412,0.024355369411191652
0.48585522843604473,0.4615624670142425,0.024292761421802256
0.484557137032474,0.4603292801808503,0.024227856851623708
0.4825341480215699,0.4584074406204914,0.02412670740107853
0.48050341288737286,0.4564782422430042,0.024025170644368654
0.47846495871292627,0.45454171077727995,0.02392324793564632
0.47641881350481574,0.4525978728295749,0.02382094067524082
0.4743650062013185,0.4506467558912525,0.02371825031006597
0.47230356668050416,0.44868838834647895,0.02361517833402521
0.4702345257682874,0.446722799479873,0.023511726288414414
0.4681579152464267,0.44475001948410536,0.02340789576232133
0.4660737678604665,0.4427700794674432,0.023303688393023325
0.4639821173276237,0.4407830114612425,0.023199105866381187
0.4618829983446089,0.4387888484273784,0.023094149917230467
0.4597764465953867,0.43678762426561735,0.022988822329769343
0.4576624987588663,0.43477937382092297,0.02288312493794331
0.4555411925165226,0.43276413289069643,0.022777059625826157
0.4534125665599433,0.43074193823194606,0.02267062832799721
0.4512766605983002,0.42871282756838514,0.022563833029915048
0.4491335153657397,0.4266768395974527,0.022456675768287027
