timestamp,captcha,user_input,correct,time,user,timeout,difficulty
2026-03-18 14:05:04.619829,I9NB7,XS58Y,0,0.0935161113739013,,,
2026-03-18 14:05:04.871609,4LTAH,XS58Y,0,0.2298979759216308,,,
2026-03-18 14:05:05.062077,P422T,XS58Y,0,0.1619362831115722,,,
2026-03-18 14:05:05.348876,7PKWC,XS58Y,0,0.2627232074737549,,,
2026-03-25 10:19:15.095490,S73W1,S73W1,0,14.638867139816284,Mukul,1.0,unknown
2026-03-25 10:19:24.176905,T7XXD,T7XXD,1,9.059972286224363,Mukul,0.0,unknown
2026-03-25 10:19:30.038630,2HHLD,2HHLD,1,5.821675777435303,Mukul,0.0,unknown
2026-03-25 10:19:37.613196,X67XK,X67XK,1,7.539185047149658,Mukul,0.0,unknown
2026-03-25 10:19:46.820807,EH5E5,EH5E5,1,9.155395030975342,Mukul,0.0,unknown
2026-03-25 10:19:51.697122,7YYZ6,7YYZ6,1,4.800411939620972,Mukul,0.0,unknown
2026-03-25 10:19:58.102109,VLABL,VLABL,1,6.342252016067505,Mukul,0.0,unknown
2026-03-25 10:20:07.033084,Z7PJS,ZYPJS,0,8.903925895690918,Mukul,0.0,unknown
2026-03-25 10:20:14.735352,83GSV,83GSV,1,7.6823272705078125,Mukul,0.0,unknown
2026-03-25 10:20:22.668153,GNX3V,GNX3V,1,7.9075939655303955,Mukul,0.0,unknown
2026-03-25 10:20:28.725038,XY6RK,XY6RK,1,6.030817031860352,Mukul,0.0,unknown
2026-03-25 10:20:35.606653,VLCG1,VLCG1,1,6.857707977294922,Mukul,0.0,unknown
2026-03-25 10:20:43.287121,JT8HD,JT8HD,1,7.654730796813965,Mukul,0.0,unknown
2026-03-25 10:20:48.304216,FR6MQ,FR6MQ,1,4.990947008132935,Mukul,0.0,unknown
2026-03-25 10:20:55.886145,O8JEA,O8JEA,1,7.557379961013794,Mukul,0.0,unknown
2026-03-25 10:21:00.694245,75SSU,75SSU,1,4.764819860458374,Mukul,0.0,unknown
2026-03-25 10:21:05.995610,J9HVC,J9HVC,1,5.2340099811553955,Mukul,0.0,unknown
2026-03-25 10:21:11.983364,LSR0O,LSR0O,1,5.9500391483306885,Mukul,0.0,unknown
2026-03-25 10:21:17.603432,W73O1,W73O1,1,5.589967727661133,Mukul,0.0,unknown
2026-03-25 10:21:24.304055,2NATD,2NATD,1,6.675391912460327,Mukul,0.0,unknown
2026-03-25 10:26:34.825068,XY6RK,XY6RK,0,11.751383066177368,Mukul,1.0,
2026-03-25 10:26:42.096013,W73O1,W7301,0,7.24428915977478,Mukul,0.0,
2026-03-25 10:26:48.242255,O8JEA,O8JEA,1,6.104275941848755,Mukul,0.0,
2026-03-25 10:26:54.311370,GNX3V,GNX3V,1,6.026407241821289,Mukul,0.0,
2026-03-25 10:26:59.865860,T7XXD,T7XXD,1,5.525707960128784,Mukul,0.0,
2026-03-25 10:27:05.993369,2HHLD,2HHLD,1,6.102272033691406,Mukul,0.0,
2026-03-25 10:27:12.613573,7YYZ6,7YYZ6,1,6.5781519412994385,Mukul,0.0,
2026-03-25 10:27:17.337554,EH5E5,EH5E5,1,4.696855068206787,Mukul,0.0,
2026-03-25 10:27:23.716485,LSR0O,LSR0O,1,6.35434889793396,Mukul,0.0,
2026-03-25 10:27:29.238469,2NATD,2NATD,1,5.497529983520508,Mukul,0.0,
2026-03-25 10:27:34.217504,S73W1,S73W1,1,4.957611083984375,Mukul,0.0,
2026-03-25 10:27:40.133377,JT8HD,JT8HD,1,5.891000986099243,Mukul,0.0,
2026-03-25 10:27:46.113894,VLABL,VLABL,1,5.954255819320679,Mukul,0.0,
2026-03-25 10:27:52.059749,FR6MQ,.,0,5.917919874191284,Mukul,0.0,
2026-03-25 10:27:58.121081,VLCG1,VLCG1,1,6.020096063613892,Mukul,0.0,
2026-03-25 10:28:05.730372,J9HVC,J9HVC,1,7.5881218910217285,Mukul,0.0,
2026-03-25 10:28:13.305439,83GSV,83GSV,1,7.546977996826172,Mukul,0.0,
2026-03-25 10:28:20.685144,X67XK,X67XK,1,7.360612154006958,Mukul,0.0,
2026-03-25 10:28:25.830302,Z7PJS,Z7PJS,1,5.11456298828125,Mukul,0.0,
2026-03-25 10:28:35.143656,75SSU,75SSU,1,9.272412061691284,Mukul,0.0,
