step,warp,clutter,variation,entropy,bot_success,mode,human_score,delay,cognitive_load,difficulty,ARI
16,0.21125208093604994,0.05,18,0.0270574540480619,0.025339362600219593,average,0.806448970654966,3.5130214427027386,0.40451321482408586,0.2932434285820873,0.7721749807664273
17,0.20634392100427373,0.05,18,0.09968922632552486,0.10161463772760644,weak,0.8286777840743471,3.5922345002946687,0.40249474675497376,0.3130144921962141,0.7458769666364119
18,0.20586381891577757,0.05,18,0.015154997612479754,0.01,strong,0.8608910253361531,3.1562797829211795,0.40229858282513464,0.2874580596524614,0.8041551554360228
19,0.1980163664044951,0.05,18,0.015137803688326505,0.016683865567582577,average,0.8496861878679827,3.689600377948903,0.3991248113749128,0.2842791300249936,0.7964231320326808
20,0.1907869255599071,0.05,18,0.030367688826431916,0.03276356001565837,average,0.8400659645643124,3.05499576360022,0.39625607308629374,0.28597935727780616,0.7846881463191138
21,0.18498363989682381,0.05,18,0.006180639396401826,0.01216167251680518,strong,0.8605959080851747,3.7858445909450813,0.39399216639252416,0.27645933575502757,0.8041494724302636
22,0.1768494625630876,0.05,18,0.029550471515631078,0.02991052212353275,average,0.865194066548627,3.4765652044284554,0.3908783991183329,0.28035651811660506,0.797841943179632
23,0.16996772219721723,0.05,18,0.006774401226974379,0.01,strong,0.8529950417336579,3.820458500378176,0.38829929441096733,0.2709445923226425,0.8022533095478818
24,0.16200423827264987,0.05,18,0.009820869804450242,0.01,strong,0.8777880142040362,2.562904280297465,0.3853793747212537,0.2689386132061717,0.8136107450711991
25,0.15322964650069634,0.05,18,0.0463110968982919,0.04220158437641578,average,0.8490168330060618,3.2481526184712433,0.3822442353174295,0.27675054193049997,0.7853918076902909
26,0.1478802569862184,0.05,18,0.12753609631695403,0.1270772924342765,weak,0.8079892619605482,3.265415081573543,0.38037618512137056,0.2992499915600396,0.7264853871308184
27,0.14984258109789544,0.051962324111677054,18,0.03017175617440018,0.028386193316841446,average,0.8769990990926539,3.180048461733946,0.38157986491886864,0.2712443693147716,0.8047513706676386
28,0.14242796764206517,0.05,18,0.009071046585938155,0.013113514600404094,strong,0.8381702705693058,3.59939396959704,0.37850666693897644,0.26184095845834077,0.7950914443401718
29,0.13511092558560145,0.05,18,0.12442823011406216,0.12278447456576375,weak,0.8382195334220314,3.4701677704245397,0.37605358299729513,0.29399502957509666,0.7425462735278108
30,0.13568892706702657,0.050578001481425126,18,0.12879235350591361,0.1283069657591734,weak,0.8681020709624692,3.1067778027580153,0.37639820883463454,0.2956488924299915,0.7533429080984839
31,0.1355428497313371,0.05043192414573564,18,0.01389908400278161,0.015537394735770451,strong,0.840908656192435,2.878034098529753,0.3763110237055395,0.2610937264499568,0.7953076950105034
32,0.12836300481858584,0.05,18,0.011480601385322881,0.01,strong,0.8545828443802506,3.310006816342267,0.3738493655284368,0.2579065234876165,0.8042716276223512
33,0.12038865385312808,0.05,18,0.008827064333124263,0.01,strong,0.8216818166850791,3.17342078237684,0.371318394058985,0.25457949090250515,0.7897988684180351
34,0.11348721043834524,0.05,18,0.008286427417366153,0.01,strong,0.8344697731150656,3.2437948390477507,0.3691944435850153,0.25229334935380804,0.7957820629663988
35,0.10608981107838905,0.05,18,0.04224446778728161,0.040224213503208914,average,0.8887849334075827,3.3368333591346815,0.36698857579575145,0.2602748936755188,0.8058248345894164
36,0.1,0.05,18,0.014330005009344834,0.013042253055731014,strong,0.8500073309981889,2.702671045596607,0.36522926005323425,0.25014123909962055,0.8016201611641439
37,0.1,0.05,18,0.145833787229065,0.1459663566063111,weak,0.8527008535123328,4.017275043931906,0.36522926005323425,0.2895923737655366,0.7390712862311561
38,0.10154097829283759,0.05154097829283759,18,0.13445356931645353,0.13541537414035915,weak,0.8573170807911583,3.2708634715299785,0.36607914355472904,0.28702819189324796,0.7461529488035348
39,0.10215125660668131,0.052151256606681316,18,0.1405258213673214,0.14636921155541904,weak,0.8740588743615106,3.5080417848209033,0.36641767857567753,0.2891884025294568,0.7485415080097956
40,0.10276476224965195,0.05276476224965195,18,0.04219657583076401,0.03824141609554878,average,0.8329302248305341,3.70449518212769,0.3667591110991029,0.260031061391915,0.7816068577915519
41,0.1,0.05,18,0.14352753875626312,0.15053679407022452,weak,0.8632333911895177,3.9354390979293132,0.36522926005323425,0.28890049922369604,0.7418234187813123
42,0.10124700773769543,0.05124700773769544,18,0.011672198432083867,0.01662488005773731,strong,0.8400004036854366,3.3106030384350755,0.36591646540250944,0.25003110247571747,0.7955158753848929
43,0.1,0.05,18,0.0358923210301947,0.038409699300775695,average,0.8204829806921896,3.298871302628128,0.36522926005323425,0.2566099339058755,0.7762719832355487
44,0.1,0.05,18,0.03675828787227564,0.04206980644090617,average,0.860968097926216,3.0024751399161786,0.36522926005323425,0.25686972395849983,0.7928172587725396
